"Input.attribute1","Answer.category"
"it's amazing how wonderful a bagel with cream cheese can be.","neutral"
"it's amazing how wonderful a bagel with cream cheese can be.","positive"
"it's amazing how wonderful a bagel with cream cheese can be.","positive"
"having to butter my bagel because the cream cheese is too far back in the fridge. #fail","negative"
"having to butter my bagel because the cream cheese is too far back in the fridge. #fail","negative"
"having to butter my bagel because the cream cheese is too far back in the fridge. #fail","neutral"
"to comendo umas bolachas com cream cheese e geleia de framboesa *yuuumiii*","positive"
"to comendo umas bolachas com cream cheese e geleia de framboesa *yuuumiii*","positive"
"to comendo umas bolachas com cream cheese e geleia de framboesa *yuuumiii*","positive"
"@toddbrink our welcome ;) would you like cream cheese with that?","positive"
"@toddbrink our welcome ;) would you like cream cheese with that?","neutral"
"@toddbrink our welcome ;) would you like cream cheese with that?","neutral"
"any body ever tried bacon wit cream cheese on a roll ? lol them hoes be hittin !!! lol #queensshit don't judge me","positive"
"any body ever tried bacon wit cream cheese on a roll ? lol them hoes be hittin !!! lol #queensshit don't judge me","positive"
"any body ever tried bacon wit cream cheese on a roll ? lol them hoes be hittin !!! lol #queensshit don't judge me","positive"
"i had 1 cheese burger, 1 reg french fries, 1 fried chicken breast, a bowl of rice, 3 nuggets, coke and ice-cream for dinner.","neutral"
"i had 1 cheese burger, 1 reg french fries, 1 fried chicken breast, a bowl of rice, 3 nuggets, coke and ice-cream for dinner.","positive"
"i had 1 cheese burger, 1 reg french fries, 1 fried chicken breast, a bowl of rice, 3 nuggets, coke and ice-cream for dinner.","neutral"
"rt @djkidfamous any body ever tried bacon wit cream cheese on a roll ? lol them hoes be hittin !!! lol #queensshit don't judge me-ifuckswitu","positive"
"rt @djkidfamous any body ever tried bacon wit cream cheese on a roll ? lol them hoes be hittin !!! lol #queensshit don't judge me-ifuckswitu","positive"
"rt @djkidfamous any body ever tried bacon wit cream cheese on a roll ? lol them hoes be hittin !!! lol #queensshit don't judge me-ifuckswitu","neutral"
"ready to make the pumpkin spiced cream cheese crescent rolls","positive"
"ready to make the pumpkin spiced cream cheese crescent rolls","neutral"
"ready to make the pumpkin spiced cream cheese crescent rolls","positive"
"@udaychopra uday, d best thing abt twitter is ur food pics. plz keep em comin! where is da coffee tday? is that cream cheese or butter?","neutral"
"@udaychopra uday, d best thing abt twitter is ur food pics. plz keep em comin! where is da coffee tday? is that cream cheese or butter?","positive"
"@udaychopra uday, d best thing abt twitter is ur food pics. plz keep em comin! where is da coffee tday? is that cream cheese or butter?","positive"
"why am i thinking of red velvet cake with cream cheese frosting?","neutral"
"why am i thinking of red velvet cake with cream cheese frosting?","positive"
"why am i thinking of red velvet cake with cream cheese frosting?","neutral"
"breakfast, rye bread wit bresse blue cheese and slices of apple, for sure 1 coffee 2 creams.lm a mouse because l love all cheese, taste gut!","positive"
"breakfast, rye bread wit bresse blue cheese and slices of apple, for sure 1 coffee 2 creams.lm a mouse because l love all cheese, taste gut!","positive"
"breakfast, rye bread wit bresse blue cheese and slices of apple, for sure 1 coffee 2 creams.lm a mouse because l love all cheese, taste gut!","positive"
